Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1423090,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,TX,78676,Web,6/16/2015,6/16/2015,Experian,Closed with explanation,Yes,
1423089,Payday loan,,Applied for loan/did not receive money,,TX,78745,Web,6/16/2015,6/16/2015,Speedy Cash Holdings,Closed with explanation,Yes,
1423298,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,11361,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1423218,Bank account or service,Checking account,Deposits and withdrawals,,TX,78259,Web,6/16/2015,6/18/2015,Bank of America,Closed with monetary relief,Yes,
1423212,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,OH,43215,Phone,6/16/2015,6/17/2015,Navy FCU,In progress,Yes,
1423176,Credit card,,Customer service / Customer relations,,CA,95670,Web,6/16/2015,6/16/2015,Citibank,Closed with non-monetary relief,Yes,
1423297,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,11361,Web,6/16/2015,6/16/2015,Experian,Closed with explanation,Yes,
1423222,Credit reporting,,Incorrect information on credit report,Information is not mine,OH,44406,Web,6/16/2015,6/16/2015,Experian,Closed with explanation,Yes,
1423281,Credit reporting,,Incorrect information on credit report,Information is not mine,DC,20001,Web,6/16/2015,6/16/2015,Equifax,In progress,Yes,
1423296,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,NY,11361,Web,6/16/2015,6/18/2015,"Credit Bureau of Lancaster County, Inc.",Closed with explanation,Yes,
1423295,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,11361,Web,6/16/2015,6/16/2015,Experian,Closed,Yes,
1424267,Debt collection,Medical,Taking/threatening an illegal action,Threatened to sue on too old debt,NY,12498,Web,6/16/2015,6/16/2015,"Collection Bureau of the Hudson Valley, Inc.",Closed with non-monetary relief,Yes,
1423483,Credit reporting,,Incorrect information on credit report,Account status,FL,33437,Web,6/16/2015,6/16/2015,Experian,In progress,Yes,
1423363,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,CA,91202,Web,6/16/2015,6/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1423357,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,NY,10462,Postal mail,6/16/2015,6/18/2015,"Delta Outsource Group, Inc.",Closed with explanation,Yes,
1423344,Money transfers,International money transfer,Fraud or scam,,PA,19152,Web,6/16/2015,6/18/2015,MoneyGram,In progress,Yes,
1423617,Mortgage,Conventional fixed mortgage,Settlement process and costs,,KS,66226,Web,6/16/2015,6/16/2015,Nationstar Mortgage,Closed with explanation,Yes,
